interval_id,timestamp,date,time,hour,is_weekend,is_peak,household_id,household_type,feeder_id,panel_kw,solar_gen_kwh,load_kwh,net_kwh,surplus_kwh,demand_kwh,temperature_c,radiation_wm2,cloud_cover_pct,indicative_price_inr,grid_decision
1,2026-09-12T00:00:00,2026-09-12,00:00,0,True,False,H001,prosumer,FEEDER-A,3.5,0.0,0.031,-0.031,0.0,0.031,30.8,0.0,47.0,6.51,TRADE_ALLOWED
1,2026-09-12T00:00:00,2026-09-12,00:00,0,True,False,H002,prosumer,FEEDER-A,4.0,0.0,0.0453,-0.0453,0.0,0.0453,30.8,0.0,47.0,6.51,TRADE_ALLOWED
1,2026-09-12T00:00:00,2026-09-12,00:00,0,True,False,H003,prosumer,FEEDER-A,2.8,0.0,0.0189,-0.0189,0.0,0.0189,30.8,0.0,47.0,6.51,TRADE_ALLOWED
1,2026-09-12T00:00:00,2026-09-12,00:00,0,True,False,H004,prosumer,FEEDER-A,5.0,0.0,0.071,-0.071,0.0,0.071,30.8,0.0,47.0,6.51,TRADE_ALLOWED
1,2026-09-12T00:00:00,2026-09-12,00:00,0,True,False,H005,prosumer,FEEDER-A,3.2,0.0,0.0299,-0.0299,0.0,0.0299,30.8,0.0,47.0,6.51,TRADE_ALLOWED
1,2026-09-12T00:00:00,2026-09-12,00:00,0,True,False,H006,prosumer,FEEDER-B,4.5,0.0,0.0533,-0.0533,0.0,0.0533,30.8,0.0,47.0,6.51,TRADE_ALLOWED
1,2026-09-12T00:00:00,2026-09-12,00:00,0,True,False,H007,prosumer,FEEDER-B,3.0,0.0,0.033,-0.033,0.0,0.033,30.8,0.0,47.0,6.51,TRADE_ALLOWED
1,2026-09-12T00:00:00,2026-09-12,00:00,0,True,False,H008,prosumer,FEEDER-B,6.0,0.0,0.0856,-0.0856,0.0,0.0856,30.8,0.0,47.0,6.51,TRADE_ALLOWED
1,2026-09-12T00:00:00,2026-09-12,00:00,0,True,False,H009,prosumer,FEEDER-B,2.5,0.0,0.0225,-0.0225,0.0,0.0225,30.8,0.0,47.0,6.51,TRADE_ALLOWED
1,2026-09-12T00:00:00,2026-09-12,00:00,0,True,False,H010,prosumer,FEEDER-B,3.8,0.0,0.0383,-0.0383,0.0,0.0383,30.8,0.0,47.0,6.51,TRADE_ALLOWED
1,2026-09-12T00:00:00,2026-09-12,00:00,0,True,False,H011,consumer,FEEDER-A,0.0,0.0,0.0577,-0.0577,0.0,0.0577,30.8,0.0,47.0,6.51,TRADE_ALLOWED
1,2026-09-12T00:00:00,2026-09-12,00:00,0,True,False,H012,consumer,FEEDER-A,0.0,0.0,0.0802,-0.0802,0.0,0.0802,30.8,0.0,47.0,6.51,TRADE_ALLOWED
1,2026-09-12T00:00:00,2026-09-12,00:00,0,True,False,H013,consumer,FEEDER-A,0.0,0.0,0.0442,-0.0442,0.0,0.0442,30.8,0.0,47.0,6.51,TRADE_ALLOWED
1,2026-09-12T00:00:00,2026-09-12,00:00,0,True,False,H014,consumer,FEEDER-A,0.0,0.0,0.1126,-0.1126,0.0,0.1126,30.8,0.0,47.0,6.51,TRADE_ALLOWED
1,2026-09-12T00:00:00,2026-09-12,00:00,0,True,False,H015,consumer,FEEDER-B,0.0,0.0,0.0628,-0.0628,0.0,0.0628,30.8,0.0,47.0,6.51,TRADE_ALLOWED
1,2026-09-12T00:00:00,2026-09-12,00:00,0,True,False,H016,consumer,FEEDER-B,0.0,0.0,0.0462,-0.0462,0.0,0.0462,30.8,0.0,47.0,6.51,TRADE_ALLOWED
1,2026-09-12T00:00:00,2026-09-12,00:00,0,True,False,H017,consumer,FEEDER-B,0.0,0.0,0.0977,-0.0977,0.0,0.0977,30.8,0.0,47.0,6.51,TRADE_ALLOWED
